AGENT,CLASS
Pemetrexed Disodium,cytotoxic
Carboplatin,cytotoxic
Investigational Drug,other
Cisplatin,cytotoxic
Nivolumab,immunotherapy
Bevacizumab,vegf
Erlotinib Hydrochloride,targeted
Paclitaxel,cytotoxic
Pembrolizumab,immunotherapy
Gemcitabine Hydrochloride,targeted
Osimertinib,targeted
Docetaxel,cytotoxic
Vinorelbine Tartrate,cytotoxic
Etoposide,cytotoxic
Crizotinib,targeted
Afatinib Dimaleate,targeted
Ramucirumab,vegf
Atezolizumab,immunotherapy
Nabpaclitaxel,cytotoxic
Alectinib,targeted
Gefitinib,targeted
Ipilimumab,immunotherapy
Brigatinib,targeted
Trametinib,targeted
Dabrafenib,targeted
Lorlatinib,targeted
Cabozantinib Smalate,targeted
Cetuximab,targeted
Trastuzumab,targeted
Necitumumab,targeted
Other antineoplastic,other
Ceritinib,targeted
Mitomycin,cytotoxic
Durvalumab,immunotherapy
Palbociclib,targeted
Other NOS,other
Vinblastine Sulfate,cytotoxic
Methotrexate,cytotoxic
Trastuzumab Emtansine,targeted
Vemurafenib,targeted
Megestrol Acetate,other
Oxaliplatin,cytotoxic
Capecitabine,cytotoxic
Navitoclax,other
Irinotecan Hydrochloride,cytotoxic
Paclitaxel Loaded Polymeric Micelle,cytotoxic
Lurbinectedin,other
Cobimetinib,targeted
Ensartinib,targeted
Fluorouracil,other
Leucovorin Calcium,other
Paclitaxel Poliglumex,other
Olaparib,targeted
Rociletinib,targeted
Rituximab,other
Temozolomide,cytotoxic
Entrectinib,targeted
Sunitinib Malate,targeted
Avelumab,immunotherapy
Tremelimumab,immunotherapy
Everolimus,targeted
Neratinib,targeted
