AGENT,CLASS
Fluorouracil,cytotoxic
Gemcitabine Hydrochloride,cytotoxic
Leucovorin Calcium,cytotoxic
Oxaliplatin,cytotoxic
Irinotecan Hydrochloride,cytotoxic
Nabpaclitaxel,cytotoxic
Capecitabine,cytotoxic
Investigational Drug,other
Irinotecan liposome,cytotoxic
Cisplatin,cytotoxic
Olaparib,PARPi
Pembrolizumab,immunotherapy
Erlotinib Hydrochloride,other
Etoposide,cytotoxic
Docetaxel,cytotoxic
Carboplatin,cytotoxic
Nivolumab,immunotherapy
Mitomycin,cytotoxic
Atezolizumab,immunotherapy
Temozolomide,cytotoxic
Trametinib,other
Paclitaxel,cytotoxic
Cobimetinib,other
Other NOS,other
Leuprolide Acetate,non-pancreas
Ipilimumab,immunotherapy
Avelumab,immunotherapy
Everolimus,other
