AGENT,CLASS
Leuprolide Acetate,GnRHR agonist
Bicalutamide,nonsteroidal antiandrogen
Docetaxel,cytotoxic
Abiraterone Acetate,CYP17A1i
Enzalutamide,nonsteroidal antiandrogen
Degarelix,GnRHR agonist
Investigational Drug,other
Cabazitaxel,cytotoxic
Carboplatin,cytotoxic
Radium RA 223 Dichloride,other
Goserlin Acetate,GnRHR agonist
Sipuleucel T,sipuleucel T
Nilutamide,nonsteroidal antiandrogen
Olaparib,PARPi
Triptorelin,GnRHR agonist
Pembrolizumab,immunotherapy
ADT/LHRH agonist not specified,GnRHR agonist
Paclitaxel,cytotoxic
Lutetium Lu 177 Dotatate,PRRT
Mitoxantrone Hydrochloride,cytotoxic
Darolutamide,nonsteroidal antiandrogen
Ketoconazole,other
Cisplatin,cytotoxic
Etoposide,cytotoxic
Flutamide,nonsteroidal antiandrogen
Nivolumab,immunotherapy
Apalutamide,nonsteroidal antiandrogen
Dutasteride,other
Gemcitabine Hydrochloride,cytotoxic
Ipilimumab,immunotherapy
Other hormone,other
Atezolizumab,immunotherapy
Pemetrexed Disodium,non-prostate
Encorafenib,non-prostate
Binimetinib,non-prostate
Cabozantinib Smalate,non-prostate
BCG Vaccine,non-prostate
Everolimus,non-prostate
Palbociclib,non-prostate
Other NOS,non-prostate
Doxorubicin Hydrochloride,non-prostate
Topotecan Hydrochloride,non-prostate
Dabrafenib,non-prostate
Oxaliplatin,non-prostate
Vincristine Sulfate,non-prostate
Histrelin Acetate,non-prostate
Capecitabine,non-prostate
Trametinib,non-prostate
Rucaparib Camsylate,non-prostate
Mitotane,non-prostate
Trastuzumab,non-prostate
Ribociclib,non-prostate
Avelumab,non-prostate
