AGENT,CLASS
CYCLOPHOSPHAMIDE,cytotoxic
DOXORUBICIN,cytotoxic
PACLITAXEL,cytotoxic
FULVESTRANT,hormonal
EPIRUBICIN,cytotoxic
FLUOROURACIL,cytotoxic
DOCETAXEL,cytotoxic
CAPECITABINE,cytotoxic
TAMOXIFEN,hormonal
LEUPROLIDE,hormonal
VT-464,other
LETROZOLE,hormonal
PALBOCICLIB,PARPi
EVEROLIMUS,mTORi
GEMCITABINE,cytotoxic
IRINOTECAN,cytotoxic
ABEMACICLIB,CDKi
ANASTROZOLE,hormonal
EXEMESTANE,hormonal
NERATINIB,anti-HER2
DOXORUBICIN LIPOSOMAL,cytotoxic
VINORELBINE,cytotoxic
BICALUTAMIDE,hormonal
LSZ102,other
CARBOPLATIN,cytotoxic
TEMSIROLIMUS,mTORi
TRASTUZUMAB,anti-HER2
BYL719,other
LJM716,other
METHOTREXATE,cytotoxic
ATEZOLIZUMAB,immunotherapy
PACLITAXEL PROTEIN-BOUND,cytotoxic
FAM-TRASTUZUMAB DERUXTECAN,anti-HER2
ERIBULIN,cytotoxic
GOSERELIN,hormonal
ALPELISIB,PIK3CAi
PF-06873600,other
RALOXIFENE,hormonal
LEUCOVORIN,cytotoxic
OXALIPLATIN,cytotoxic
CISPLATIN,cytotoxic
PEMBROLIZUMAB,immunotherapy
PERTUZUMAB,anti-HER2
HYALURONIDASE/PERTUZUMAB/TRASTUZUMAB,anti-HER2
AZD5363,other
LEE011,other
GDC-0810,other
SACITUZUMAB GOVITECAN,cytotoxic
BEVACIZUMAB,vegf
LAPATINIB,anti-HER2
ADO-TRASTUZUMAB EMTANSINE,anti-HER2
HYALURONIDASE-TRASTUZUMAB,anti-HER2
TUCATINIB,anti-HER2
ARN-810,other
RIBOCICLIB,CDKi
GDC-0077,PIK3CAi
ETOPOSIDE,cytotoxic
ENZALUTAMIDE,hormonal
LAROTRECTINIB,other
VLS-101 VEDOTIN,other
OLAPARIB,PARPi
SAR439859,other
IXABEPILONE,cytotoxic
TALAZOPARIB,PARPi
IPILIMUMAB,immunotherapy
NIVOLUMAB,immunotherapy
DACARBAZINE,cytotoxic
LUCITANIB,vegf
PU-H71,other
TREMELIMUMAB,PU-H71
LY3022855,other
LY2835219,other
DLYE5953A,other
GSK3326595,other
GDC-9545,hormonal
LY3484356,hormonal
YTTRIUM Y-90 THERASPHERES,other
AVELUMAB,immunotherapy
BKM120,PIK3CAi
TRASTUZUMAB-MCC-DM1,anti-HER2
IPI-549,PIK3CAi
GDC-0032,PIK3CAi
PEMETREXED,cytotoxic
TASELISIB,PIK3CAi
AZD5305,PARPi
ZEN003694,other
ABT-888,PARPi
LY3023414,PIK3CAi
TOREMIFENE,hormonal
TESETAXEL,cytotoxic
TOPOTECAN,cytotoxic
YTTRIUM Y-90 MICROSPHERES,other
GDC-0927,hormonal
FAZ053,immunotherapy
PDR001,immunotherapy
DEBIO 1347,other
SGN-LIV1A,other
ZOTATIFIN,other
PTC299,other
LETROZOLE-RIBOCICLIB,hormonal
BDC-1001,anti-HER2
VELIPARIB,PARPi
JTX-2011,other
DATOPOTAMAB,other
TETRATHIOMOLYBDATE,other
DURVALUMAB,immunotherapy
ERDAFITINIB,other
RUCAPARIB,PARPi
