AGENT,CLASS
FLUOROURACIL,cytotoxic
LEUCOVORIN,cytotoxic
OXALIPLATIN,cytotoxic
IRINOTECAN,cytotoxic
BEVACIZUMAB,vegf
CAPECITABINE,cytotoxic
FLOXURIDINE,cytotoxic
PANITUMUMAB,egfr
CETUXIMAB,egfr
TIPIRACIL-TRIFLURIDINE,tpi
MITOMYCIN,cytotoxic
REGORAFENIB,vegf
PEMBROLIZUMAB,immunotherapy
MEGESTROL,non-crc
LEUPROLIDE,non-crc
YTTRIUM Y-90 THERASPHERES,brachytherapy
NIVOLUMAB,immunotherapy
ENCORAFENIB,braf
CISPLATIN,cytotoxic
CYCLOPHOSPHAMIDE,cytotoxic
ATEZOLIZUMAB,immunotherapy
YTTRIUM Y-90 MICROSPHERES,brachytherapy
DURVALUMAB,immunotherapy
METHOTREXATE,cytotoxic
PACLITAXEL,cytotoxic
IPILIMUMAB,immunotherapy
ANASTROZOLE,non-crc
BINIMETINIB,braf
CARBOPLATIN,cytotoxic
RITUXIMAB,non-crc
TRASTUZUMAB,her2
DOXORUBICIN,cytotoxic
ETOPOSIDE,cytotoxic
GEMCITABINE,cytotoxic
DOSTARLIMAB,immunotherapy
RO6958688,other
VEMURAFENIB,braf
TAMOXIFEN,non-crc
TREMELIMUMAB,braf
LETROZOLE,non-crc
TRAMETINIB,braf
TEMOZOLOMIDE,cytotoxic
PAMIDRONATE,non-crc
COBIMETINIB,braf
DABRAFENIB,braf
VINCRISTINE,cytotoxic
DEGARELIX,non-crc
FLUOROURACIL TOPICAL,non-crc
BICALUTAMIDE,non-crc
TUCATINIB,non-crc
AMG 510,other
GUADECITABINE,cytotoxic
MRTX849,other
EXEMESTANE,non-crc
DOCETAXEL,cytotoxic
FAM-TRASTUZUMAB DERUXTECAN,her2
PF-07062119,other
TAS-102,tpi
REGN7075,other
PERTUZUMAB,her2
BCG,non-crc
MEDI4736,immunotherapy
BDC-1001,her2
INCAGN01876,other
URELUMAB,other
ISOTRETINOIN,non-crc
PACLITAXEL PROTEIN-BOUND,cytotoxic
RALOXIFENE,non-crc
ONCOS-102,other
MONALIZUMAB,other
NERATINIB,her2
LENALIDOMIDE,non-crc
HYDROXYUREA,non-crc
MERCAPTOPURINE,non-crc
TRASTUZUMAB-MCC-DM1,her2
CEMIPLIMAB,immunotherapy
GOSERELIN,non-crc
PEMETREXED,cytotoxic
RAMUCIRUMAB,vegf
IFOSFAMIDE,non-crc
OLAPARIB,non-crc
SRF231,other
CYTARABINE,non-crc
NIRAPARIB,non-crc
FLUDARABINE,non-crc
OBINUTUZUMAB,non-crc
SOTORASIB,other
BVD-523,other
MEDI9253,other
TNO155,other
PF-07284892,other
