AGENT,CLASS
CISPLATIN,cytotoxic
GEMCITABINE,cytotoxic
ERLOTINIB,targeted
CARBOPLATIN,cytotoxic
PEMETREXED,cytotoxic
DURVALUMAB,immunotherapy
CAPECITABINE,cytotoxic
ETOPOSIDE,cytotoxic
IPILIMUMAB,immunotherapy
NIVOLUMAB,immunotherapy
ATEZOLIZUMAB,immunotherapy
LEUPROLIDE,non_lung
OSIMERTINIB,targeted
PEMBROLIZUMAB,immunotherapy
SOTORASIB,targeted
VINORELBINE,cytotoxic
PACLITAXEL,cytotoxic
ANASTROZOLE,non_lung
ZOLEDRONIC ACID,non_lung
DOCETAXEL,cytotoxic
RAMUCIRUMAB,vegf
MEGESTROL,non_lung
METHOTREXATE,cytotoxic
PROCARBAZINE,cytotoxic
VINCRISTINE,cytotoxic
ZD1839,targeted
CYCLOPHOSPHAMIDE,cytotoxic
FLUOROURACIL,cytotoxic
TRASTUZUMAB,targeted
BEVACIZUMAB,vegf
CERITINIB,targeted
ALECTINIB,targeted
TPX-0005,targeted
LORLATINIB,targeted
DOXORUBICIN,non_lung
EXEMESTANE,non_lung
TAMOXIFEN,non_lung
FLUOROURACIL TOPICAL,cytotoxic
SUNITINIB,non_lung
PACLITAXEL PROTEIN-BOUND,cytotoxic
ATN-224,other
BICALUTAMIDE,non_lung
BLEOMYCIN,non_lung
IRINOTECAN,non_lung
LEUCOVORIN,non_lung
OXALIPLATIN,non_lung
DAROLUTAMIDE,non_lung
U3-1402,targeted
PATRITUMAB,targeted
LETROZOLE,non_lung
RALOXIFENE,non_lung
LOXO-101,targeted
LAROTRECTINIB,targeted
GOSERELIN,non_lung
NINTEDANIB,targeted
EDATREXATE,non_lung
THIOTEPA,non_lung
AFATINIB,targeted
BCG,non_lung
MK-3475,immunotherapy
CRIZOTINIB,targeted
MEDI4736,immunotherapy
TREMELIMUMAB,targeted
LENVATINIB,non_lung
DOXORUBICIN LIPOSOMAL,non_lung
DACARBAZINE,non_lung
VINBLASTINE,non_lung
ARSENIC TRIOXIDE,non_lung
TRETINOIN,non_lung
BORTEZOMIB,non_lung
LENALIDOMIDE,non_lung
CARFILZOMIB,non_lung
ELOTUZUMAB,non_lung
POMALIDOMIDE,non_lung
DARATUMUMAB,non_lung
THALIDOMIDE,non_lung
BELANTAMAB MAFODOTIN,non_lung
SELINEXOR,non_lung
BENDAMUSTINE,non_lung
EVEROLIMUS,targeted
TEMOZOLOMIDE,cytotoxic
MITOMYCIN,non_lung
AMIVANTAMAB,targeted
LAZERTINIB,targeted
FULVESTRANT,non_lung
NECITUMUMAB,targeted
PALBOCICLIB,non_lung
EGF816,targeted
DABRAFENIB,targeted
TRAMETINIB,targeted
FLOXURIDINE,non_lung
TEPOTINIB,targeted
PF-02341066,targeted
RUXOLITINIB,targeted
LUTETIUM LU-177 DOTATATE,targeted
BMS-936558,immunotherapy
BMS-986015,targeted
RITUXIMAB,non_lung
PAZOPANIB,non_lung
HEXAVALENT VACCINE 00-064,non_lung
DEGARELIX,non_lung
MOXR0916,non_lung
CABOZANTINIB,targeted
AMG 510,targeted
MRTX849,targeted
TNO155,targeted
IFOSFAMIDE,non_lung
ENTRECTINIB,targeted
RXDX-105,targeted
DACOMITINIB,targeted
CAPMATINIB,targeted
DARATUMUMAB-HYALURONIDASE,targeted
SC16LD6.5,targeted
ENTINOSTAT,non_lung
XL647,targeted
AP32788,targeted
FAM-TRASTUZUMAB DERUXTECAN,targeted
IBRUTINIB,targeted
ACALABRUTINIB,targeted
ZANUBRUTINIB,targeted
MECHLORETHAMINE,cytotoxic
AMG232,other
PYROTINIB,targeted
ALDESLEUKIN,targeted
TALIMOGENE LAHERPAREPVEC,targeted
OMP-59R5,targeted
ABT-888,other
SC-002,other
AZD1775,other
OLAPARIB,targeted
CHLORAMBUCIL,cytotoxic
NERATINIB,targeted
TEMSIROLIMUS,targeted
RAD001,targeted
PDX,cytotoxic
PRALATREXATE,cytotoxic
STN-KLH,other
TRASTUZUMAB-MCC-DM1,targeted
INCB024360,other
MPDL3280A,immunotherapy
LY3499446,other
AZD6094,targeted
ENFORTUMAB VEDOTIN,targeted
SACITUZUMAB GOVITECAN,targeted
PF-06463922,targeted
INTERFERON ALFA-2B,targeted
GP100,other
CB-839,other
GDC-0032,other
CETUXIMAB,targeted
MLN0128,other
CYTARABINE,cytotoxic
RO5126766,other
AZD9291,targeted
SELUMETINIB,targeted
LOXO-292,targeted
SNX-5422,other
ISO-FLUDELONE,other
BIBW 2992,targeted
ENZALUTAMIDE,non_lung
OSI-906,other
MEDI1191,other
REGORAFENIB,vegf
PM01183,other
LURBINECTEDIN,other
PAMIDRONATE,non_lung
ISOTRETINOIN,targeted
IPI-549,other
MCLA-128,other
MITOMYCIN OPHTHALMIC,non_lung
IPI-504,other
HYDROXYUREA,cytotoxic
MDX-010,immunotherapy
PS341,targeted
VENETOCLAX,targeted
ASP8273,other
RXDX-101,other
PANITUMUMAB,targeted
BRIGATINIB,targeted
ABL001,other
DASATINIB,targeted
IMATINIB,targeted
AM0010,other
ZW49,other
GANETESPIB,non_lung
CO-1686,other
IXAZOMIB,targeted
ISATUXIMAB,targeted
YTTRIUM Y-90 THERASPHERES,non_lung
ABIRATERONE,non_lung
CABAZITAXEL,non_lung
RADIUM RA-223 DICHLORIDE,non_lung
DIETHYLSTILBESTROL,non_lung
VEMURAFENIB,targeted
PF-00299804,targeted
EPIRUBICIN,non_lung
MSC1936369B,other
SAR245409,other
NVL-520,other
GRT-R904,other
SELPERCATINIB,targeted
ADO-TRASTUZUMAB EMTANSINE,targeted
AZD5363,other
LY3023414,other
DEBIO 1347,other
LY2875358,other
COBIMETINIB,targeted
URELUMAB,targeted
ALTIRATINIB,targeted
AZACITIDINE,cytotoxic
GSK2849330,other
STA-9090,other
REPOTRECTINIB,targeted
LUTETIUM LU-177 DOTA-JR11,non_lung
LEE011,targeted
PDR001,targeted
MOCETINOSTAT,non_lung
ADCT-502,other
CVA21,other
BDTX-189,targeted
NIRAPARIB,targeted
LY3321367,other
GEFITINIB,targeted
REGN5093,other
RIBOCICLIB,targeted
TOPOTECAN,cytotoxic
YTTRIUM Y-90 MICROSPHERES,non_lung
CPI-444,other
NKTR-214,other
TAS0953,other
RIPRETINIB,non_lung
BVD-523,targeted
GSK3052230,other
BMS-986016,other
ADAGRASIB,targeted
NILOTINIB,targeted
IRINOTECAN LIPOSOMAL,cytotoxic
MK-4166,other
TIRAGOLUMAB,other
PRS-343,other
MERCAPTOPURINE,cytotoxic
LXH254,other
AZD0156,other
BMS-986205,other
EPACADOSTAT,non_lung
TAK-788,other
AMG 757,other
ABEMACICLIB,non_lung
HTI-1066,other
TAZEMETOSTAT,targeted
APALUTAMIDE,non_lung
BCA101,other
PONATINIB,non_lung
VISMODEGIB,non_lung
RIVOCERANIB,non_lung
ERDAFITINIB,non_lung
SORAFENIB,targeted
GUADECITABINE,non_lung
BRENTUXIMAB VEDOTIN,non_lung
SELITRECTINIB,targeted
ALPELISIB,targeted
NEO-PV-01,other
BINIMETINIB,targeted
ENCORAFENIB,targeted
PF-07284892,other
NAB-RAPAMYCIN,non_lung
REGN5093-M114,other
TPX-0046,other
CLN-081,other
RUCAPARIB,targeted
AFLIBERCEPT OPHTHALMIC,non_lung
RO7198457-A,other
RO7198457-B,other
KO-947,other
RMC-4630,other
AG-270,other
LY3415244,other
SAVOLITINIB,targeted
LY3300054,other
FLUDARABINE,cytotoxic
ASCIMINIB,targeted
IVOSIDENIB,targeted
IMC-F106C,other
AL101,other
NILUTAMIDE,non_lung
CDX-1140,other
BI 894999,other
BOSUTINIB,targeted
INC280,other
BGB-3245,other
MK-1308,other
MOBOCERTINIB,targeted
VLS-101 VEDOTIN,other
ERAS-007,other
AXITINIB,targeted
VORINOSTAT,targeted
PRT543,other
LY3537982,other
SERIBANTUMAB,non_lung
TELAGLENASTAT,non_lung
SAPANISERTIB,non_lung
PRALSETINIB,non_lung
RP-3500,other
