AGENT,CLASS
ATEZOLIZUMAB,immunotherapy
CARBOPLATIN,platinum
ETOPOSIDE,topoisomerase
TEMOZOLOMIDE,alkylating
IPILIMUMAB,immunotherapy
NIVOLUMAB,immunotherapy
CISPLATIN,platinum
IRINOTECAN,topoisomerase
PACLITAXEL,microtubule
IFOSFAMIDE,other
BLEOMYCIN,other
DACARBAZINE,other
DOXORUBICIN,other
VINBLASTINE,other
LURBINECTEDIN,transcription
SC-002,other
PEMBROLIZUMAB,immunotherapy
CYCLOPHOSPHAMIDE,other
DURVALUMAB,immunotherapy
AMG 757,other
GEMCITABINE,other
VINCRISTINE,other
LDE225,other
ABT-888,PARPi
BMS-936558,immunotherapy
TOPOTECAN,topoisomerase
IMATINIB,other
DS-3032B,other
RITUXIMAB,other
ERLOTINIB,other
OSIMERTINIB,other
PACLITAXEL PROTEIN-BOUND,other
EPIRUBICIN,other
DOCETAXEL,other
CAPECITABINE,other
OLAPARIB,PARPi
AZD1775,other
PEMETREXED,other
BEVACIZUMAB,other
